球员名字,所属球队,场次,时间,投篮投中数,投篮出手数,投篮命中率,三分球投中数,三分球出手数,三分球命中率,罚篮投中数,罚篮出手数,罚篮命中率,篮板进攻,篮板防守,篮板总计,助攻,失误,抢断,盖帽,犯规,得分
特里-伯克,华盛顿奇才,51,12:36,2.1,4.6,44.9%,0.5,1.2,41.7%,0.4,0.5,72%,0.1,0.7,0.9,1.8,0.8,0.2,0.1,1,5
PJ-塔克,多伦多猛龙,57,28:32,2.6,6.2,41.5%,0.8,2.4,33.8%,1.1,1.4,79.2%,1.6,4.4,6,1.3,0.9,1.5,0.2,2.5,7
凯尔-洛里,多伦多猛龙,56,37:42,7.2,15.5,46.3%,3.3,7.9,41.7%,5.1,6.1,82.6%,0.8,3.9,4.7,6.9,2.8,1.4,0.3,2.9,22.8
德马雷-卡罗尔,多伦多猛龙,52,27:16,3.4,8.2,41.2%,1.7,4.7,35.2%,1.3,1.7,77%,0.9,3.1,4,1,0.8,1.2,0.4,2,9.7
德玛尔-德罗赞,多伦多猛龙,50,35:30,9.8,21.2,46.4%,0.4,1.5,25.3%,7.3,8.6,84.5%,1,4.3,5.3,3.7,2.3,1.1,0.2,1.9,27.3
卢卡斯-诺盖拉,多伦多猛龙,48,21:36,2.1,3.1,68.2%,0.1,0.2,33.3%,0.9,1.4,65.7%,1.7,3.2,4.9,0.8,0.9,1,1.8,2.8,5.3
诺曼-鲍威尔,多伦多猛龙,53,17:20,2.7,6,45.4%,0.7,2,34.3%,1.3,1.7,77.3%,0.3,1.7,2,1,0.8,0.8,0.2,1.6,7.4
科里-约瑟夫,多伦多猛龙,55,22:35,3.4,7.6,44.3%,0.5,1.3,39.4%,1.3,1.7,79.1%,0.5,2.1,2.6,2.7,1,0.7,0.1,1.7,8.5
塞尔吉-伊巴卡,多伦多猛龙,56,30:32,6.1,12.6,48.8%,1.5,3.8,38.8%,1.4,1.6,84.6%,1.8,5,6.8,1.1,1.2,0.6,1.6,2.5,15.1
帕斯卡尔-西亚卡姆,多伦多猛龙,48,16:47,2,3.9,50.3%,0,0.1,0%,0.5,0.7,68.8%,1.2,2.2,3.5,0.3,0.6,0.5,0.9,2.1,4.4
